Thread,Positivity Scores
157,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
158,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
159,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
160,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
161,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.296}"
162,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
163,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
164,"{'neg': 0.041, 'neu': 0.763, 'pos': 0.196, 'compound': 0.9083}"
165,"{'neg': 0.112, 'neu': 0.819, 'pos': 0.069, 'compound': -0.3291}"
166,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
167,"{'neg': 0.081, 'neu': 0.899, 'pos': 0.02, 'compound': -0.6046}"
168,"{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.7351}"
169,"{'neg': 0.081, 'neu': 0.879, 'pos': 0.039, 'compound': -0.3818}"
170,"{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.4606}"
171,"{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.3612}"
172,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.7747}"
173,"{'neg': 0.183, 'neu': 0.817, 'pos': 0.0, 'compound': -0.7227}"
174,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
175,"{'neg': 0.033, 'neu': 0.889, 'pos': 0.078, 'compound': 0.6369}"
176,"{'neg': 0.04, 'neu': 0.807, 'pos': 0.153, 'compound': 0.7687}"
177,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
178,"{'neg': 0.072, 'neu': 0.773, 'pos': 0.155, 'compound': 0.4767}"
179,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.0772}"
180,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.4023}"
181,"{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.7906}"
182,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.7319}"
183,"{'neg': 0.012, 'neu': 0.847, 'pos': 0.141, 'compound': 0.9369}"
184,"{'neg': 0.043, 'neu': 0.835, 'pos': 0.122, 'compound': 0.5965}"
185,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
186,"{'neg': 0.031, 'neu': 0.969, 'pos': 0.0, 'compound': -0.2263}"
187,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.8441}"
188,"{'neg': 0.053, 'neu': 0.879, 'pos': 0.068, 'compound': 0.2373}"
189,"{'neg': 0.487, 'neu': 0.513, 'pos': 0.0, 'compound': -0.2263}"
190,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.7269}"
191,"{'neg': 0.055, 'neu': 0.854, 'pos': 0.091, 'compound': 0.4126}"
192,"{'neg': 0.192, 'neu': 0.784, 'pos': 0.025, 'compound': -0.8957}"
193,"{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.9201}"
194,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
195,"{'neg': 0.06, 'neu': 0.828, 'pos': 0.112, 'compound': 0.4956}"
196,"{'neg': 0.104, 'neu': 0.667, 'pos': 0.229, 'compound': 0.4588}"
197,"{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.3612}"
198,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.644}"
199,"{'neg': 0.039, 'neu': 0.906, 'pos': 0.055, 'compound': 0.2247}"
200,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
201,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.743}"
202,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
203,"{'neg': 0.655, 'neu': 0.345, 'pos': 0.0, 'compound': -0.2263}"
204,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
205,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
206,"{'neg': 0.061, 'neu': 0.939, 'pos': 0.0, 'compound': -0.4215}"
207,"{'neg': 0.031, 'neu': 0.962, 'pos': 0.007, 'compound': -0.6692}"
208,"{'neg': 0.081, 'neu': 0.83, 'pos': 0.09, 'compound': 0.1371}"
209,"{'neg': 0.04, 'neu': 0.793, 'pos': 0.167, 'compound': 0.5911}"
210,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
211,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.3612}"
212,"{'neg': 0.082, 'neu': 0.871, 'pos': 0.047, 'compound': -0.4215}"
213,"{'neg': 0.052, 'neu': 0.85, 'pos': 0.098, 'compound': 0.4404}"
214,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4019}"
215,"{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.5399}"
216,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.5574}"
217,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
218,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
219,"{'neg': 0.05, 'neu': 0.872, 'pos': 0.078, 'compound': 0.2263}"
220,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
221,"{'neg': 0.0, 'neu': 0.518, 'pos': 0.482, 'compound': 0.4199}"
222,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.4019}"
223,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.8176}"
224,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
225,"{'neg': 0.158, 'neu': 0.823, 'pos': 0.019, 'compound': -0.9098}"
226,"{'neg': 0.0, 'neu': 0.979, 'pos': 0.021, 'compound': 0.1901}"
227,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
228,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
229,"{'neg': 0.151, 'neu': 0.667, 'pos': 0.182, 'compound': 0.1298}"
230,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
231,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
232,"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.8591}"
233,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
234,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
235,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}"
236,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
237,"{'neg': 0.026, 'neu': 0.744, 'pos': 0.23, 'compound': 0.9635}"
238,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
239,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
240,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
241,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
242,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
243,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.5267}"
244,"{'neg': 0.0, 'neu': 0.978, 'pos': 0.022, 'compound': 0.0772}"
245,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.4574}"
246,"{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.4939}"
247,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
248,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
249,"{'neg': 0.036, 'neu': 0.918, 'pos': 0.046, 'compound': 0.1027}"
250,"{'neg': 0.054, 'neu': 0.825, 'pos': 0.122, 'compound': 0.3716}"
251,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.7964}"
252,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.7703}"
253,"{'neg': 0.161, 'neu': 0.584, 'pos': 0.255, 'compound': 0.3818}"
254,"{'neg': 0.079, 'neu': 0.921, 'pos': 0.0, 'compound': -0.2023}"
255,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
256,"{'neg': 0.108, 'neu': 0.571, 'pos': 0.322, 'compound': 0.6282}"
