Thread,Sentiment Scores,Label,Positive Score
94,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.8395}",pos,0.112
95,"{'neg': 0.085, 'neu': 0.888, 'pos': 0.027, 'compound': -0.5859}",neg,0.027
96,"{'neg': 0.112, 'neu': 0.744, 'pos': 0.144, 'compound': 0.1506}",pos,0.144
97,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
98,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.34}",pos,0.255
99,"{'neg': 0.084, 'neu': 0.838, 'pos': 0.078, 'compound': -0.0644}",neg,0.078
100,"{'neg': 0.047, 'neu': 0.861, 'pos': 0.091, 'compound': 0.3612}",pos,0.091
101,"{'neg': 0.089, 'neu': 0.879, 'pos': 0.032, 'compound': -0.3716}",neg,0.032
102,"{'neg': 0.033, 'neu': 0.753, 'pos': 0.214, 'compound': 0.9046}",pos,0.214
103,"{'neg': 0.033, 'neu': 0.897, 'pos': 0.07, 'compound': 0.4215}",pos,0.07
104,"{'neg': 0.0, 'neu': 0.956, 'pos': 0.044, 'compound': 0.327}",pos,0.044
105,"{'neg': 0.0, 'neu': 0.751, 'pos': 0.249, 'compound': 0.8622}",pos,0.249
106,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
107,"{'neg': 0.107, 'neu': 0.771, 'pos': 0.121, 'compound': -0.0382}",neg,0.121
108,"{'neg': 0.034, 'neu': 0.88, 'pos': 0.086, 'compound': 0.8979}",pos,0.086
109,"{'neg': 0.038, 'neu': 0.899, 'pos': 0.063, 'compound': 0.504}",pos,0.063
110,"{'neg': 0.087, 'neu': 0.913, 'pos': 0.0, 'compound': -0.4329}",neg,0.0
111,"{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.2263}",pos,0.071
112,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
113,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.4215}",pos,0.237
114,"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.9243}",neg,0.0
115,"{'neg': 0.023, 'neu': 0.905, 'pos': 0.072, 'compound': 0.3353}",pos,0.072
116,"{'neg': 0.064, 'neu': 0.738, 'pos': 0.198, 'compound': 0.9208}",pos,0.198
117,"{'neg': 0.12, 'neu': 0.783, 'pos': 0.097, 'compound': -0.1531}",neg,0.097
118,"{'neg': 0.432, 'neu': 0.568, 'pos': 0.0, 'compound': -0.4215}",neg,0.0
119,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.6124}",pos,0.207
120,"{'neg': 0.013, 'neu': 0.879, 'pos': 0.108, 'compound': 0.9062}",pos,0.108
121,"{'neg': 0.189, 'neu': 0.717, 'pos': 0.094, 'compound': -0.4404}",neg,0.094
122,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.2023}",pos,0.375
123,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
124,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
125,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
126,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",pos,1.0
127,"{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.5994}",pos,0.129
128,"{'neg': 0.062, 'neu': 0.929, 'pos': 0.008, 'compound': -0.7674}",neg,0.008
129,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
130,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.296}",neg,0.0
131,"{'neg': 0.106, 'neu': 0.773, 'pos': 0.121, 'compound': 0.0772}",pos,0.121
132,"{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.3612}",pos,0.082
133,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.8765}",neg,0.0
134,"{'neg': 0.035, 'neu': 0.816, 'pos': 0.149, 'compound': 0.8316}",pos,0.149
135,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4939}",pos,0.13
136,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
137,"{'neg': 0.02, 'neu': 0.948, 'pos': 0.031, 'compound': 0.168}",pos,0.031
138,"{'neg': 0.081, 'neu': 0.807, 'pos': 0.112, 'compound': 0.1779}",pos,0.112
139,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4404}",pos,0.097
140,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
141,"{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.7263}",pos,0.233
142,"{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.7644}",pos,0.24
143,"{'neg': 0.024, 'neu': 0.874, 'pos': 0.102, 'compound': 0.9226}",pos,0.102
144,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
145,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.9638}",pos,0.226
146,"{'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.2481}",pos,0.074
147,"{'neg': 0.01, 'neu': 0.899, 'pos': 0.091, 'compound': 0.9704}",pos,0.091
148,"{'neg': 0.201, 'neu': 0.576, 'pos': 0.223, 'compound': 0.0772}",pos,0.223
149,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
150,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
151,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.5349}",pos,0.154
152,"{'neg': 0.127, 'neu': 0.749, 'pos': 0.124, 'compound': -0.0811}",neg,0.124
153,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.7717}",pos,0.157
154,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}",pos,0.126
155,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",pos,0.385
156,"{'neg': 0.039, 'neu': 0.879, 'pos': 0.082, 'compound': 0.8763}",pos,0.082
157,"{'neg': 0.0, 'neu': 0.944, 'pos': 0.056, 'compound': 0.168}",pos,0.056
158,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
159,"{'neg': 0.082, 'neu': 0.918, 'pos': 0.0, 'compound': -0.3612}",neg,0.0
160,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.6124}",pos,0.357
161,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.4939}",pos,0.118
162,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.6597}",pos,0.252
163,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3612}",pos,0.185
164,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
165,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
166,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",pos,0.293
167,"{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.6808}",neg,0.0
168,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
169,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.714}",pos,0.101
170,"{'neg': 0.079, 'neu': 0.73, 'pos': 0.191, 'compound': 0.3802}",pos,0.191
171,"{'neg': 0.041, 'neu': 0.855, 'pos': 0.104, 'compound': 0.8409}",pos,0.104
172,"{'neg': 0.134, 'neu': 0.736, 'pos': 0.131, 'compound': -0.0258}",neg,0.131
173,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
174,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}",neg,0.0
175,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
176,"{'neg': 0.039, 'neu': 0.943, 'pos': 0.018, 'compound': -0.1779}",neg,0.018
177,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
178,"{'neg': 0.097, 'neu': 0.794, 'pos': 0.109, 'compound': 0.6174}",pos,0.109
179,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
180,"{'neg': 0.105, 'neu': 0.7, 'pos': 0.194, 'compound': 0.68}",pos,0.194
181,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
182,"{'neg': 0.065, 'neu': 0.935, 'pos': 0.0, 'compound': -0.602}",neg,0.0
183,"{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.4574}",pos,0.075
184,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
185,"{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0.2732}",pos,0.068
186,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.4215}",neg,0.0
187,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.8672}",pos,0.239
188,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
189,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
190,"{'neg': 0.202, 'neu': 0.639, 'pos': 0.16, 'compound': -0.168}",neg,0.16
191,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
192,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.34}",pos,0.124
193,"{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.3595}",neg,0.0
194,"{'neg': 0.049, 'neu': 0.856, 'pos': 0.095, 'compound': 0.3612}",pos,0.095
195,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.504}",pos,0.12
196,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4404}",pos,0.231
197,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
198,"{'neg': 0.129, 'neu': 0.765, 'pos': 0.106, 'compound': 0.3036}",pos,0.106
199,"{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.3506}",neg,0.0
