Thread,Sentiment Scores,Label,Positive Score
177,"{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.3612}",neu,0.048
178,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.296}",neu,0.216
179,"{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.4019}",neu,0.0
180,"{'neg': 0.186, 'neu': 0.814, 'pos': 0.0, 'compound': -0.6705}",neu,0.0
181,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
182,"{'neg': 0.107, 'neu': 0.712, 'pos': 0.181, 'compound': 0.5106}",neu,0.181
183,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4019}",neu,0.0
184,"{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.4707}",neu,0.066
185,"{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.2411}",neu,0.0
186,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
187,"{'neg': 0.074, 'neu': 0.926, 'pos': 0.0, 'compound': -0.3476}",neu,0.0
188,"{'neg': 0.0, 'neu': 0.954, 'pos': 0.046, 'compound': 0.6705}",neu,0.046
189,"{'neg': 0.018, 'neu': 0.982, 'pos': 0.0, 'compound': -0.2828}",neu,0.0
190,"{'neg': 0.088, 'neu': 0.798, 'pos': 0.114, 'compound': 0.551}",neu,0.114
191,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
192,"{'neg': 0.056, 'neu': 0.927, 'pos': 0.017, 'compound': -0.6943}",neu,0.017
193,"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.6789}",neu,0.061
194,"{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.6093}",neu,0.0
195,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
196,"{'neg': 0.026, 'neu': 0.909, 'pos': 0.065, 'compound': 0.4971}",neu,0.065
197,"{'neg': 0.073, 'neu': 0.743, 'pos': 0.184, 'compound': 0.5475}",neu,0.184
198,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
199,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.6486}",neu,0.177
200,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4753}",pos,1.0
201,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
202,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.6124}",pos,0.5
203,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.7845}",neu,0.172
204,"{'neg': 0.125, 'neu': 0.875, 'pos': 0.0, 'compound': -0.4329}",neu,0.0
205,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
206,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.7512}",neu,0.261
207,"{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.8316}",neu,0.205
208,"{'neg': 0.032, 'neu': 0.882, 'pos': 0.087, 'compound': 0.6103}",neu,0.087
209,"{'neg': 0.048, 'neu': 0.89, 'pos': 0.063, 'compound': 0.1779}",neu,0.063
210,"{'neg': 0.054, 'neu': 0.83, 'pos': 0.116, 'compound': 0.4767}",neu,0.116
211,"{'neg': 0.021, 'neu': 0.892, 'pos': 0.087, 'compound': 0.5499}",neu,0.087
212,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
213,"{'neg': 0.056, 'neu': 0.885, 'pos': 0.059, 'compound': -0.2163}",neu,0.059
214,"{'neg': 0.0, 'neu': 0.989, 'pos': 0.011, 'compound': 0.1306}",neu,0.011
215,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",pos,0.592
216,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.5106}",neu,0.177
217,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
218,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.7645}",neu,0.268
219,"{'neg': 0.0, 'neu': 0.969, 'pos': 0.031, 'compound': 0.0772}",neu,0.031
220,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",neu,0.492
221,"{'neg': 0.057, 'neu': 0.802, 'pos': 0.14, 'compound': 0.4404}",neu,0.14
222,"{'neg': 0.039, 'neu': 0.876, 'pos': 0.085, 'compound': 0.3506}",neu,0.085
223,"{'neg': 0.097, 'neu': 0.796, 'pos': 0.106, 'compound': 0.0516}",neu,0.106
224,"{'neg': 0.179, 'neu': 0.605, 'pos': 0.216, 'compound': 0.1875}",neu,0.216
225,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}",neu,0.252
226,"{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.8126}",neu,0.0
227,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
228,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
229,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
230,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.4215}",neu,0.119
231,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
232,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.644}",neu,0.127
233,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.4479}",neu,0.08
234,"{'neg': 0.055, 'neu': 0.797, 'pos': 0.148, 'compound': 0.5994}",neu,0.148
235,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
236,"{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.4019}",neu,0.0
237,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.8276}",neu,0.109
238,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
239,"{'neg': 0.076, 'neu': 0.855, 'pos': 0.069, 'compound': 0.1779}",neu,0.069
240,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",pos,1.0
241,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.8122}",neu,0.153
242,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
243,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
244,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
245,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.7888}",neu,0.257
246,"{'neg': 0.025, 'neu': 0.813, 'pos': 0.163, 'compound': 0.8316}",neu,0.163
247,"{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.1027}",neu,0.0
248,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
249,"{'neg': 0.125, 'neu': 0.75, 'pos': 0.125, 'compound': -0.0018}",neu,0.125
250,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
251,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
252,"{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.1306}",neu,0.032
253,"{'neg': 0.115, 'neu': 0.815, 'pos': 0.07, 'compound': -0.4822}",neu,0.07
254,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
255,"{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.5267}",neu,0.064
256,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
257,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
258,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
259,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
260,"{'neg': 0.016, 'neu': 0.971, 'pos': 0.013, 'compound': -0.0644}",neu,0.013
261,"{'neg': 0.019, 'neu': 0.928, 'pos': 0.052, 'compound': 0.5264}",neu,0.052
262,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.7003}",neu,0.367
263,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.7351}",neu,0.167
264,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
265,"{'neg': 0.19, 'neu': 0.726, 'pos': 0.084, 'compound': -0.5859}",neu,0.084
266,"{'neg': 0.052, 'neu': 0.93, 'pos': 0.017, 'compound': -0.4784}",neu,0.017
267,"{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.2144}",neu,0.062
268,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neu,0.0
269,"{'neg': 0.049, 'neu': 0.791, 'pos': 0.16, 'compound': 0.7227}",neu,0.16
